Palabra,Dificultad,Categoría
perro,fácil,animales
gato,fácil,animales
pájaro,fácil,animales
pez,fácil,animales
vaca,fácil,animales
caballo,fácil,animales
león,fácil,animales
tigre,fácil,animales
oso,fácil,animales
mono,fácil,animales
pollo,fácil,animales
pato,fácil,animales
oveja,fácil,animales
cabra,fácil,animales
cerdo,fácil,animales
rana,fácil,animales
ratón,fácil,animales
abeja,fácil,animales
mosca,fácil,animales
hormiga,fácil,animales
araña,fácil,animales
gusano,fácil,animales
mariposa,fácil,animales
caracol,fácil,animales
elefante,fácil,animales
jirafa,fácil,animales
serpiente,fácil,animales
cocodrilo,fácil,animales
tortuga,fácil,animales
lobo,media,animales
zorro,media,animales
ciervo,media,animales
conejo,fácil,animales
ardilla,media,animales
murciélago,media,animales
delfín,media,animales
ballena,media,animales
tiburón,media,animales
pulpo,media,animales
cangrejo,media,animales
camello,media,animales
llama,media,animales
ganso,media,animales
pavo,fácil,animales
águila,media,animales
halcón,media,animales
búho,media,animales
loro,fácil,animales
canario,fácil,animales
cisne,media,animales
flamenco,media,animales
pingüino,media,animales
avestruz,media,animales
koala,media,animales
panda,media,animales
canguro,media,animales
hipopótamo,media,animales
rinoceronte,media,animales
cebra,media,animales
guepardo,media,animales
leopardo,media,animales
hiena,media,animales
chimpancé,media,animales
gorila,media,animales
ornitorrinco,difícil,animales
armadillo,media,animales
perezoso,media,animales
lémur,media,animales
suricata,media,animales
narval,difícil,animales
beluga,difícil,animales
manatí,difícil,animales
ajolote,difícil,animales
salamandra,media,animales
tritón,media,animales
gecko,media,animales
iguana,media,animales
camaleón,media,animales
varano,difícil,animales
kiwi,media,animales
buitre,media,animales
cóndor,difícil,animales
albatros,difícil,animales
pelícano,media,animales
colibrí,media,animales
medusa,media,animales
estrella,fácil,animales
erizo (mar),media,animales
babosa,fácil,animales
lombriz,fácil,animales
mosquito,fácil,animales
libélula,media,animales
escarabajo,media,animales
grillo,fácil,animales
saltamontes,fácil,animales
mariquita,fácil,animales
ciempiés,media,animales
escorpión,media,animales
mantis,media,animales
bisonte,difícil,animales
búfalo,difícil,animales
alce,difícil,animales
reno,media,animales
gacela,media,animales
antílope,media,animales
ñu,difícil,animales
impala,difícil,animales
cobaya,fácil,animales
hámster,fácil,animales
hurón,media,animales
visón,difícil,animales
nutria,media,animales
castor,media,animales
mapache,media,animales
tejón,media,animales
mofeta,media,animales
codorniz,media,animales
faisán,difícil,animales
urogallo,difícil,animales
mesa,fácil,objetos
silla,fácil,objetos
cama,fácil,objetos
puerta,fácil,objetos
ventana,fácil,objetos
lámpara,fácil,objetos
libro,fácil,objetos
vaso,fácil,objetos
plato,fácil,objetos
taza,fácil,objetos
cuchara,fácil,objetos
tenedor,fácil,objetos
cuchillo,fácil,objetos
sofá,fácil,objetos
reloj,fácil,objetos
teléfono,fácil,objetos
llave,fácil,objetos
gafas,fácil,objetos
bolso,fácil,objetos
mochila,fácil,objetos
paraguas,fácil,objetos
espejo,fácil,objetos
peine,fácil,objetos
cepillo,fácil,objetos
jarrón,media,objetos
cuadro,media,objetos
alfombra,media,objetos
cortina,media,objetos
cojín,fácil,objetos
manta,fácil,objetos
vela,fácil,objetos
florero,media,objetos
ordenador,media,objetos
teclado,media,objetos
ratón (pc),media,objetos
impresora,media,objetos
altavoz,media,objetos
micrófono,media,objetos
cámara,fácil,objetos
batería,media,objetos
pila,fácil,objetos
linterna,fácil,objetos
radio,fácil,objetos
televisor,media,objetos
mando,fácil,objetos
secador,media,objetos
plancha,media,objetos
aspiradora,media,objetos
nevera,media,objetos
horno,media,objetos
lavadora,media,objetos
fregadero,media,objetos
grifo,media,objetos
inodoro,media,objetos
ducha,media,objetos
bañera,media,objetos
toalla,fácil,objetos
jabón,fácil,objetos
papelera,fácil,objetos
escoba,fácil,objetos
recogedor,fácil,objetos
cubo,fácil,objetos
fregona,media,objetos
cenicero,media,objetos
mechero,fácil,objetos
cerilla,fácil,objetos
moneda,fácil,objetos
billete,fácil,objetos
tarjeta,fácil,objetos
sobre,fácil,objetos
sello,fácil,objetos
lupa,fácil,objetos
brújula,media,objetos
mapa,fácil,objetos
globo,fácil,objetos
telescopio,difícil,objetos
microscopio,difícil,objetos
termómetro,fácil,objetos
barómetro,difícil,objetos
cincel,difícil,herramientas
diapasón,difícil,objetos
metrónomo,difícil,objetos
sextante,extrema,objetos
astrolabio,extrema,objetos
catalejo,difícil,objetos
monóculo,difícil,objetos
matraz,difícil,objetos
probeta,difícil,objetos
pipeta,difícil,objetos
embudo,fácil,objetos
colador,fácil,objetos
rallador,fácil,objetos
mortero,media,objetos
cascanueces,media,objetos
sacacorchos,media,herramientas
abrelatas,fácil,herramientas
percha,fácil,objetos
pinza,fácil,objetos
imperdible,fácil,objetos
alfiler,fácil,objetos
aguja,fácil,herramientas
dedal,media,objetos
urna,media,objetos
atril,difícil,objetos
candelabro,difícil,objetos
manzana,fácil,comida
plátano,fácil,comida
naranja,fácil,comida
uva,fácil,comida
fresa,fácil,comida
pan,fácil,comida
leche,fácil,comida
queso,fácil,comida
huevo,fácil,comida
arroz,fácil,comida
pasta,fácil,comida
carne,fácil,comida
pollo (comida),fácil,comida
pescado,fácil,comida
sopa,fácil,comida
ensalada,fácil,comida
galleta,fácil,comida
chocolate,fácil,comida
helado,fácil,comida
agua,fácil,comida
zumo,fácil,comida
café,fácil,comida
té,fácil,comida
azúcar,fácil,comida
sal,fácil,comida
aceite,fácil,comida
vinagre,fácil,comida
mantequilla,fácil,comida
yogur,fácil,comida
mermelada,fácil,comida
miel,fácil,comida
cereales,fácil,comida
tomate,fácil,comida
cebolla,fácil,comida
patata,fácil,comida
zanahoria,fácil,comida
lechuga,fácil,comida
pepino,fácil,comida
pimiento,fácil,comida
ajo,fácil,comida
limón,fácil,comida
sandía,fácil,comida
melón,fácil,comida
piña,fácil,comida
mango,media,comida
aguacate,media,comida
cereza,fácil,comida
ciruela,fácil,comida
pera,fácil,comida
melocotón,fácil,comida
kiwi (fruta),fácil,comida
coco,fácil,comida
higo,fácil,comida
nuez,fácil,comida
almendra,fácil,comida
avellana,fácil,comida
lenteja,fácil,comida
garbanzo,fácil,comida
judía,fácil,comida
guisante,fácil,comida
champiñón,fácil,comida
seta,fácil,comida
espárrago,media,comida
berenjena,media,comida
calabacín,media,comida
calabaza,media,comida
brócoli,fácil,comida
coliflor,fácil,comida
repollo,fácil,comida
espinaca,fácil,comida
puerro,media,comida
apio,media,comida
pizza,fácil,comida
taco,media,comida
empanada,media,comida
croqueta,media,comida
palomitas,fácil,comida
magdalena,fácil,comida
churro,fácil,comida
dátil,fácil,comida
pistacho,media,comida
anacardo,media,comida
trufa,difícil,comida
alcachofa,media,comida
acelga,media,comida
rábano,fácil,comida
nabo,fácil,comida
remolacha,media,comida
jengibre,media,comida
cúrcuma,media,comida
canela,fácil,comida
vainilla,media,comida
orégano,fácil,comida
perejil,fácil,comida
cilantro,media,comida
albahaca,media,comida
menta,fácil,comida
romero,media,comida
tomillo,media,comida
laurel,media,comida
azafrán,difícil,comida
caviar,difícil,comida
sushi,media,comida
turrón,media,comida
mazapán,media,comida
polvorón,media,comida
quinoa,difícil,comida
chía,difícil,comida
tofu,difícil,comida
seitán,difícil,comida
alegría,fácil,emociones
tristeza,fácil,emociones
miedo,fácil,emociones
ira,media,emociones
sorpresa,fácil,emociones
asco,fácil,emociones
amor,fácil,emociones
odio,media,emociones
felicidad,fácil,emociones
calma,fácil,emociones
susto,fácil,emociones
cariño,fácil,emociones
culpa,media,emociones
vergüenza,media,emociones
orgullo,media,emociones
celos,media,emociones
envidia,media,emociones
esperanza,media,emociones
ansiedad,media,emociones
estrés,media,emociones
aburrimiento,fácil,emociones
interés,media,emociones
curiosidad,media,emociones
confianza,media,emociones
desconfianza,media,emociones
gratitud,media,emociones
admiración,media,emociones
nostalgia,difícil,emociones
soledad,media,emociones
angustia,difícil,emociones
pánico,media,emociones
terror,media,emociones
furia,difícil,emociones
rabia,media,emociones
satisfacción,media,emociones
placer,media,emociones
asombro,media,emociones
desilusión,media,emociones
decepción,media,emociones
frustración,media,emociones
impaciencia,media,emociones
paciencia,media,emociones
serenidad,difícil,emociones
alivio,media,emociones
consuelo,media,emociones
ternura,media,emociones
afecto,media,emociones
simpatía,media,emociones
deseo,media,emociones
pasión,difícil,emociones
entusiasmo,media,emociones
motivación,media,emociones
determinación,difícil,emociones
valentía,media,emociones
coraje,media,emociones
temor,media,emociones
nerviosismo,media,emociones
inquietud,media,emociones
euforia,difícil,emociones
éxtasis,difícil,emociones
melancolía,difícil,emociones
apatía,difícil,emociones
rencor,difícil,emociones
resentimiento,difícil,emociones
deleite,difícil,emociones
fascinación,difícil,emociones
empatía,difícil,emociones
compasión,difícil,emociones
remordimiento,difícil,emociones
arrepentimiento,difícil,emociones
júbilo,difícil,emociones
gozo,difícil,emociones
regocijo,difícil,emociones
anhelo,difícil,emociones
sosiego,difícil,emociones
desasosiego,difícil,emociones
pesadumbre,difícil,emociones
zozobra,extrema,emociones
desdén,extrema,emociones
aversión,difícil,emociones
repugnancia,media,emociones
médico,fácil,profesiones
profesor,fácil,profesiones
bombero,fácil,profesiones
policía,fácil,profesiones
cocinero,fácil,profesiones
panadero,fácil,profesiones
carpintero,media,profesiones
pintor,media,profesiones
escritor,media,profesiones
músico,media,profesiones
actor,media,profesiones
cantante,media,profesiones
vendedor,fácil,profesiones
conductor,fácil,profesiones
cartero,fácil,profesiones
abogado,media,profesiones
juez,media,profesiones
ingeniero,difícil,profesiones
arquitecto,difícil,profesiones
científico,difícil,profesiones
periodista,media,profesiones
fotógrafo,media,profesiones
diseñador,media,profesiones
programador,difícil,profesiones
veterinario,media,profesiones
dentista,media,profesiones
farmacéutico,media,profesiones
enfermero,media,profesiones
psicólogo,difícil,profesiones
traductor,difícil,profesiones
bibliotecario,media,profesiones
agricultor,media,profesiones
pescador,media,profesiones
marinero,media,profesiones
piloto,media,profesiones
astronauta,difícil,profesiones
mecánico,media,profesiones
electricista,media,profesiones
fontanero,media,profesiones
albañil,media,profesiones
jardinero,media,profesiones
peluquero,fácil,profesiones
maquillador,media,profesiones
estilista,media,profesiones
zapatero,media,profesiones
biólogo,difícil,profesiones
químico,difícil,profesiones
físico,difícil,profesiones
matemático,difícil,profesiones
historiador,difícil,profesiones
economista,difícil,profesiones
contable,difícil,profesiones
banquero,difícil,profesiones
inversor,difícil,profesiones
empresario,difícil,profesiones
gerente,difícil,profesiones
director,difícil,profesiones
secretario,media,profesiones
recepcionista,media,profesiones
comerciante,media,profesiones
repartidor,fácil,profesiones
taxista,fácil,profesiones
azafata,media,profesiones
guía,media,profesiones
bailarín,media,profesiones
deportista,media,profesiones
entrenador,media,profesiones
árbitro,media,profesiones
político,difícil,profesiones
militar,media,profesiones
detective,media,profesiones
guardia,media,profesiones
conserje,media,profesiones
portero,media,profesiones
barrendero,media,profesiones
basurero,media,profesiones
animador,media,profesiones
mago,fácil,profesiones
payaso,fácil,profesiones
sastre,difícil,profesiones
modista,difícil,profesiones
joyero,difícil,profesiones
relojero,difícil,profesiones
escultor,difícil,profesiones
ceramista,difícil,profesiones
herrero,difícil,profesiones
soldador,difícil,profesiones
geólogo,extrema,profesiones
astrónomo,extrema,profesiones
meteorólogo,extrema,profesiones
oceanógrafo,extrema,profesiones
arqueólogo,extrema,profesiones
paleontólogo,extrema,profesiones
antropólogo,extrema,profesiones
sociólogo,extrema,profesiones
filósofo,extrema,profesiones
lingüista,extrema,profesiones
auditor,extrema,profesiones
diplomático,extrema,profesiones
coreógrafo,extrema,profesiones
espía,media,profesiones
funambulista,extrema,profesiones
trapecista,difícil,profesiones
malabarista,difícil,profesiones
casa,fácil,lugares
parque,fácil,lugares
escuela,fácil,lugares
playa,fácil,lugares
montaña,fácil,lugares
ciudad,fácil,lugares
pueblo,fácil,lugares
río,fácil,lugares
lago,fácil,lugares
mar,fácil,lugares
océano,media,lugares
bosque,fácil,lugares
hospital,fácil,lugares
tienda,fácil,lugares
mercado,fácil,lugares
restaurante,fácil,lugares
cine,fácil,lugares
teatro,media,lugares
museo,media,lugares
biblioteca,media,lugares
iglesia,fácil,lugares
jardín,fácil,lugares
cocina,fácil,lugares
baño,fácil,lugares
dormitorio,fácil,lugares
salón,fácil,lugares
patio,fácil,lugares
campo,fácil,lugares
puente,fácil,lugares
carretera,fácil,lugares
calle,fácil,lugares
plaza,fácil,lugares
selva,media,lugares
desierto,media,lugares
castillo,media,lugares
palacio,media,lugares
aeropuerto,media,lugares
estación,fácil,lugares
puerto,media,lugares
gimnasio,media,lugares
piscina,fácil,lugares
estadio,media,lugares
oficina,media,lugares
fábrica,media,lugares
granja,fácil,lugares
cueva,media,lugares
volcán,media,lugares
isla,media,lugares
continente,media,lugares
planeta,media,lugares
laboratorio,difícil,lugares
taller,media,lugares
garaje,fácil,lugares
sótano,media,lugares
ático,media,lugares
balcón,fácil,lugares
terraza,fácil,lugares
pasillo,fácil,lugares
escalera,fácil,lugares
ascensor,fácil,lugares
comedor,fácil,lugares
despacho,media,lugares
aula,fácil,lugares
pradera,media,lugares
colina,media,lugares
valle,media,lugares
duna,media,lugares
bodega,media,lugares
molino,media,lugares
faro,media,lugares
túnel,media,lugares
autopista,media,lugares
avenida,media,lugares
rotonda,fácil,lugares
esquina,fácil,lugares
frontera,media,lugares
ayuntamiento,media,lugares
juzgado,difícil,lugares
cárcel,media,lugares
prisión,media,lugares
cementerio,media,lugares
catedral,media,lugares
templo,media,lugares
pirámide,media,lugares
ruinas,media,lugares
fortaleza,media,lugares
muralla,media,lugares
península,difícil,lugares
galaxia,difícil,lugares
universo,difícil,lugares
cañón,media,lugares
acantilado,media,lugares
glaciar,difícil,lugares
oasis,difícil,lugares
pantano,difícil,lugares
ciénaga,difícil,lugares
marisma,difícil,lugares
arrecife,difícil,lugares
cráter,difícil,lugares
observatorio,extrema,lugares
planetario,extrema,lugares
viñedo,difícil,lugares
aduana,difícil,lugares
embajada,difícil,lugares
consulado,difícil,lugares
monasterio,difícil,lugares
convento,difícil,lugares
ermita,difícil,lugares
basílica,difícil,lugares
sinagoga,difícil,lugares
mezquita,difícil,lugares
acueducto,difícil,lugares
anfiteatro,difícil,lugares
coliseo,difícil,lugares
idea,media,conceptos abstractos
sueño,fácil,conceptos abstractos
tiempo,fácil,conceptos abstractos
color,fácil,conceptos abstractos
número,fácil,conceptos abstractos
forma,fácil,conceptos abstractos
sonido,fácil,conceptos abstractos
juego,fácil,conceptos abstractos
magia,fácil,conceptos abstractos
secreto,media,conceptos abstractos
regalo,fácil,conceptos abstractos
verdad,media,conceptos abstractos
mentira,media,conceptos abstractos
palabra,fácil,conceptos abstractos
nombre,fácil,conceptos abstractos
historia,media,conceptos abstractos
ruido,fácil,conceptos abstractos
suerte,fácil,conceptos abstractos
final,fácil,conceptos abstractos
inicio,fácil,conceptos abstractos
libertad,media,conceptos abstractos
justicia,media,conceptos abstractos
belleza,media,conceptos abstractos
amistad,media,conceptos abstractos
futuro,media,conceptos abstractos
pasado,media,conceptos abstractos
problema,media,conceptos abstractos
solución,media,conceptos abstractos
cambio,media,conceptos abstractos
opinión,media,conceptos abstractos
razón,media,conceptos abstractos
realidad,media,conceptos abstractos
cultura,difícil,conceptos abstractos
ciencia,media,conceptos abstractos
política,difícil,conceptos abstractos
economía,difícil,conceptos abstractos
religión,media,conceptos abstractos
memoria,media,conceptos abstractos
inteligencia,media,conceptos abstractos
creatividad,media,conceptos abstractos
democracia,difícil,conceptos abstractos
filosofía,extrema,conceptos abstractos
ironía,difícil,conceptos abstractos
metáfora,difícil,conceptos abstractos
utopía,extrema,conceptos abstractos
dilema,difícil,conceptos abstractos
prejuicio,difícil,conceptos abstractos
conciencia,difícil,conceptos abstractos
destino,media,conceptos abstractos
casualidad,media,conceptos abstractos
ética,extrema,conceptos abstractos
moral,difícil,conceptos abstractos
lógica,difícil,conceptos abstractos
paradoja,extrema,conceptos abstractos
intuición,difícil,conceptos abstractos
inspiración,media,conceptos abstractos
sabiduría,difícil,conceptos abstractos
ignorancia,media,conceptos abstractos
abstracción,extrema,conceptos abstractos
existencia,difícil,conceptos abstractos
martillo,fácil,herramientas
clavo,fácil,herramientas
tijeras,fácil,herramientas
pala,fácil,herramientas
escoba (herramienta),fácil,herramientas
aguja (coser),fácil,herramientas
regla,fácil,herramientas
cepillo (limpieza),fácil,herramientas
pinzas (genérico),fácil,herramientas
llave (herramienta),fácil,herramientas
cubo (recipiente),fácil,objetos
hilo,fácil,objetos
cuerda,fácil,objetos
destornillador,fácil,herramientas
tornillo,fácil,herramientas
sierra,media,herramientas
hacha,media,herramientas
rastrillo,fácil,herramientas
pegamento,fácil,objetos
alicates,media,herramientas
taladro,media,herramientas
metro,fácil,herramientas
nivel (herramienta),media,herramientas
lima (herramienta),media,herramientas
serrucho,media,herramientas
escalera (herramienta),fácil,objetos
carretilla,media,herramientas
soldador (eléctrico),difícil,herramientas
espátula,media,herramientas
brocha,fácil,herramientas
rodillo (pintura),media,herramientas
gato (hidráulico),difícil,herramientas
polea,difícil,herramientas
compás (herramienta),media,herramientas
cúter,fácil,herramientas
abrelatas (herramienta),fácil,herramientas
cincel (herramienta),difícil,herramientas
escuadra,media,herramientas
soplete,difícil,herramientas
yunque,extrema,herramientas
camisa,fácil,ropa
pantalón,fácil,ropa
zapato,fácil,ropa
falda,fácil,ropa
vestido,fácil,ropa
abrigo,fácil,ropa
sombrero,fácil,ropa
calcetín,fácil,ropa
guante,fácil,ropa
bufanda,fácil,ropa
gorro,fácil,ropa
pijama,fácil,ropa
bañador,fácil,ropa
cinturón,fácil,ropa
chaqueta,fácil,ropa
blusa,fácil,ropa
jersey,fácil,ropa
bota,fácil,ropa
sandalia,fácil,ropa
corbata,fácil,ropa
traje,media,ropa
americana,media,ropa
gabardina,media,ropa
chaleco,fácil,ropa
sudadera,fácil,ropa
leggins,fácil,ropa
chándal,fácil,ropa
uniforme,media,ropa
delantal,fácil,ropa
bata,fácil,ropa
medias,fácil,ropa
leotardos,fácil,ropa
zapatillas,fácil,ropa
chanclas,fácil,ropa
pañuelo,fácil,ropa
tirantes,media,ropa
impermeable,media,ropa
kimono,media,ropa
túnica,media,ropa
turbante,media,ropa
frac,difícil,ropa
esmoquin,difícil,ropa
corsé,difícil,ropa
sari,difícil,ropa
chilaba,difícil,ropa
poncho,media,ropa
pamela,difícil,ropa
bombín,difícil,ropa
albornoz,media,ropa
gemelos (ropa),difícil,ropa
fiesta,fácil,eventos
cumpleaños,fácil,eventos
boda,media,eventos
